WKT,longitude,latitude,block,uniqueID
"POINT (-0.3542005630445877 50.98976531694967)",-0.35420056304458769,50.98976531694967207,Middle,
"POINT (-0.35705807966559167 50.990079479902874)",-0.35705807966559167,50.99007947990287448,Middle,
"POINT (-0.35656422819708666 50.989230984356475)",-0.35656422819708666,50.98923098435647461,Middle,
"POINT (-0.3556361014306837 50.98992268308977)",-0.35563610143068369,50.98992268308977316,Middle,
"POINT (-0.3560012918221417 50.98598878288667)",-0.35600129182214169,50.9859887828866718,Middle,
"POINT (-0.3574233 50.9861456)",-0.3574233,50.9861456,Middle,
"POINT (-0.3569294 50.9852971)",-0.3569294,50.9852971,Middle,M333
"POINT (-0.3560013 50.9859888)",-0.3560013,50.9859888,Middle,
"POINT (-0.35470336067263364 50.99061549612957)",-0.35470336067263364,50.99061549612957123,Middle,
"POINT (-0.3561253389075417 50.99077229294277)",-0.35612533890754172,50.99077229294277203,Middle,
"POINT (-0.3556314874390367 50.98992379739637)",-0.35563148743903672,50.98992379739637215,Middle,
"POINT (-0.35470336067263364 50.99061549612957)",-0.35470336067263364,50.99061549612957123,Middle,
"POINT (-0.3542005630445877 50.98976531694967)",-0.35420056304458769,50.98976531694967207,Middle,
"POINT (-0.35512868981099066 50.98907361821647)",-0.35512868981099066,50.98907361821647299,Middle,
"POINT (-0.35044150820554765 50.99013138918707)",-0.35044150820554765,50.99013138918707,Middle,
"POINT (-0.3518635 50.9902882)",-0.3518635,50.9902882,Middle,
"POINT (-0.3513696 50.9894397)",-0.3513696,50.9894397,Middle,
"POINT (-0.3504415 50.9901314)",-0.3504415,50.9901314,Middle,
"POINT (-0.34859469910028573 50.99152794929217)",-0.34859469910028573,50.99152794929216981,Middle,
"POINT (-0.3500167 50.9916847)",-0.3500167,50.9916847,Middle,
"POINT (-0.3495228 50.9908363)",-0.3495228,50.9908363,Middle,
"POINT (-0.3485947 50.9915279)",-0.3485947,50.9915279,Middle,M222
"POINT (-0.35413905950855973 50.98737517244177)",-0.35413905950855973,50.98737517244177297,Middle,
"POINT (-0.355561 50.987532)",-0.355561,50.987532,Middle,
"POINT (-0.3550672 50.9866835)",-0.3550672,50.9866835,Middle,
"POINT (-0.3541391 50.9873752)",-0.3541391,50.9873752,Middle,
"POINT (-0.3569934690602117 50.98769036808827)",-0.35699346906021168,50.98769036808827337,Middle,
"POINT (-0.3584154 50.9878472)",-0.3584154,50.9878472,Middle,
"POINT (-0.3579216 50.9869987)",-0.3579216,50.9869987,Middle,
"POINT (-0.3569935 50.9876904)",-0.3569935,50.9876904,Middle,
"POINT (-0.35711598547834866 50.99246652410467)",-0.35711598547834866,50.99246652410467107,Middle,
"POINT (-0.358538 50.9926233)",-0.358538,50.9926233,Middle,
"POINT (-0.3580441 50.9917748)",-0.3580441,50.9917748,Middle,
"POINT (-0.357116 50.9924665)",-0.357116,50.9924665,Middle,M122
"POINT (-0.35994926537870964 50.99278139866407)",-0.35994926537870964,50.99278139866407145,Middle,
"POINT (-0.3613712 50.9929382)",-0.3613712,50.9929382,Middle,M111
"POINT (-0.3608774 50.9920897)",-0.3608774,50.9920897,Middle,M113
"POINT (-0.3599493 50.9927814)",-0.3599493,50.9927814,Middle,M112
"POINT (-0.35142258516703573 50.991839616755975)",-0.35142258516703573,50.99183961675597487,Middle,
"POINT (-0.3528446 50.9919964)",-0.3528446,50.9919964,Middle,
"POINT (-0.3523507 50.9911479)",-0.3523507,50.9911479,Middle,
"POINT (-0.3514226 50.9918396)",-0.3514226,50.9918396,Middle,
"POINT (-0.35895690153828463 50.99107983504377)",-0.35895690153828463,50.99107983504377017,Middle,
"POINT (-0.3603789 50.9912366)",-0.3603789,50.9912366,Middle,
"POINT (-0.359885 50.9903881)",-0.359885,50.9903881,Middle,M133
"POINT (-0.3589569 50.9910798)",-0.3589569,50.9910798,Middle,
"POINT (-0.34911830869886357 51.00087477121798)",-0.34911830869886357,51.00087477121797974,North,
"POINT (-0.35197582531986754 51.00118893417118)",-0.35197582531986754,51.00118893417118215,North,
"POINT (-0.35148197385136254 51.00034043862478)",-0.35148197385136254,51.00034043862478228,North,
"POINT (-0.35055384708495957 51.00103213735808)",-0.35055384708495957,51.00103213735808083,North,
"POINT (-0.35091903747641756 50.99709823715498)",-0.35091903747641756,50.99709823715497947,North,
"POINT (-0.352341 50.997255)",-0.352341,50.997255,North,
"POINT (-0.3518472 50.9964065)",-0.3518472,50.9964065,North,N333
"POINT (-0.350919 50.9970982)",-0.350919,50.9970982,North,
"POINT (-0.3496211063269095 51.00172495039788)",-0.34962110632690951,51.0017249503978789,North,
"POINT (-0.3510430845618176 51.00188174721108)",-0.3510430845618176,51.0018817472110797,North,
"POINT (-0.3505492330933126 51.00103325166468)",-0.3505492330933126,51.00103325166467982,North,
"POINT (-0.3496211063269095 51.00172495039788)",-0.34962110632690951,51.0017249503978789,North,
"POINT (-0.34911830869886357 51.00087477121798)",-0.34911830869886357,51.00087477121797974,North,
"POINT (-0.35004643546526654 51.00018307248478)",-0.35004643546526654,51.00018307248478067,North,
"POINT (-0.3453592538598235 51.00124084345538)",-0.34535925385982352,51.00124084345537767,North,
"POINT (-0.3467812 51.0013976)",-0.3467812,51.0013976,North,
"POINT (-0.3462874 51.0005491)",-0.3462874,51.0005491,North,
"POINT (-0.3453593 51.0012408)",-0.3453593,51.0012408,North,
"POINT (-0.3435124447545616 51.00263740356048)",-0.34351244475456161,51.00263740356047748,North,
"POINT (-0.3449344 51.0027942)",-0.3449344,51.0027942,North,
"POINT (-0.3444406 51.0019457)",-0.3444406,51.0019457,North,
"POINT (-0.3435124 51.0026374)",-0.3435124,51.0026374,North,N222
"POINT (-0.3490568051628356 50.99848462671008)",-0.3490568051628356,50.99848462671008065,North,
"POINT (-0.3504788 50.9986414)",-0.3504788,50.9986414,North,
"POINT (-0.3499849 50.9977929)",-0.3499849,50.9977929,North,
"POINT (-0.3490568 50.9984846)",-0.3490568,50.9984846,North,
"POINT (-0.35191121471448755 50.99879982235658)",-0.35191121471448755,50.99879982235658105,North,
"POINT (-0.3533332 50.9989566)",-0.3533332,50.9989566,North,
"POINT (-0.3528393 50.9981081)",-0.3528393,50.9981081,North,
"POINT (-0.3519112 50.9987998)",-0.3519112,50.9987998,North,
"POINT (-0.35203373113262454 51.00357597837298)",-0.35203373113262454,51.00357597837297874,North,
"POINT (-0.3534557 51.0037328)",-0.3534557,51.0037328,North,
"POINT (-0.3529619 51.0028843)",-0.3529619,51.0028843,North,
"POINT (-0.3520337 51.003576)",-0.3520337,51.003576,North,N122
"POINT (-0.3548670110329855 51.00389085293238)",-0.35486701103298551,51.00389085293237912,North,
"POINT (-0.356289 51.0040476)",-0.356289,51.0040476,North,N111
"POINT (-0.3557951 51.0031992)",-0.3557951,51.0031992,North,N113
"POINT (-0.354867 51.0038909)",-0.354867,51.0038909,North,N112
"POINT (-0.3463403308213116 51.00294907102428)",-0.3463403308213116,51.00294907102428255,North,
"POINT (-0.3477623 51.0031059)",-0.3477623,51.0031059,North,
"POINT (-0.3472685 51.0022574)",-0.3472685,51.0022574,North,
"POINT (-0.3463403 51.0029491)",-0.3463403,51.0029491,North,
"POINT (-0.3538746471925605 51.00218928931208)",-0.35387464719256051,51.00218928931207785,North,
"POINT (-0.3552966 51.0023461)",-0.3552966,51.0023461,North,
"POINT (-0.3548028 51.0014976)",-0.3548028,51.0014976,North,N133
"POINT (-0.3538746 51.0021893)",-0.3538746,51.0021893,North,
"POINT (-0.3647435899783266 50.9729800904265)",-0.36474358997832662,50.97298009042650335,South-2,
"POINT (-0.3676011065993306 50.973294253379706)",-0.3676011065993306,50.97329425337970576,South-2,
"POINT (-0.3671072551308256 50.972445757833306)",-0.36710725513082559,50.97244575783330589,South-2,
"POINT (-0.3661791283644226 50.973137456566604)",-0.36617912836442262,50.97313745656660444,South-2,
"POINT (-0.3665443187558806 50.9692035563635)",-0.36654431875588062,50.96920355636350308,South-2,
"POINT (-0.3679662969907886 50.969360353176704)",-0.36796629699078859,50.96936035317670388,South-2,
"POINT (-0.3665443187558806 50.9692035563635)",-0.36654431875588062,50.96920355636350308,South-2,
"POINT (-0.36524638760637257 50.9738302696064)",-0.36524638760637257,50.97383026960640251,South-2,
"POINT (-0.36666836584128065 50.9739870664196)",-0.36666836584128065,50.97398706641960331,South-2,
"POINT (-0.36617451437277565 50.9731385708732)",-0.36617451437277565,50.97313857087320343,South-2,
"POINT (-0.36524638760637257 50.9738302696064)",-0.36524638760637257,50.97383026960640251,South-2,
"POINT (-0.3647435899783266 50.9729800904265)",-0.36474358997832662,50.97298009042650335,South-2,
"POINT (-0.3656717167447296 50.972288391693304)",-0.36567171674472959,50.97228839169330428,South-2,
"POINT (-0.3609845351392866 50.9733461626639)",-0.36098453513928658,50.97334616266390128,South-2,
"POINT (-0.36240651337419366 50.9735029594771)",-0.36240651337419366,50.97350295947710208,South-2,
"POINT (-0.36191266190568866 50.9726544639306)",-0.36191266190568866,50.97265446393060273,South-2,
"POINT (-0.3609845351392866 50.9733461626639)",-0.36098453513928658,50.97334616266390128,South-2,
"POINT (-0.35913772603402466 50.974742722769)",-0.35913772603402466,50.97474272276900109,South-2,
"POINT (-0.36055970426893263 50.9748995195822)",-0.36055970426893263,50.97489951958220189,South-2,
"POINT (-0.36006585280042663 50.9740510240358)",-0.36006585280042663,50.97405102403580202,South-2,
"POINT (-0.3591377 50.9747427)",-0.3591377,50.9747427,South-2,SY222
"POINT (-0.36468208644229866 50.970589945918604)",-0.36468208644229866,50.97058994591860426,South-2,
"POINT (-0.36610406467720563 50.970746742731805)",-0.36610406467720563,50.97074674273180506,South-2,
"POINT (-0.36561021320870063 50.969898247185306)",-0.36561021320870063,50.96989824718530571,South-2,
"POINT (-0.36468208644229866 50.970589945918604)",-0.36468208644229866,50.97058994591860426,South-2,
"POINT (-0.3675364959939506 50.970905141565105)",-0.36753649599395061,50.97090514156510466,South-2,
"POINT (-0.3689584742288586 50.971061938378206)",-0.36895847422885858,50.97106193837820598,South-2,
"POINT (-0.3684646227603536 50.970213442831806)",-0.36846462276035358,50.97021344283180611,South-2,
"POINT (-0.3675364959939506 50.970905141565105)",-0.36753649599395061,50.97090514156510466,South-2,
"POINT (-0.3676590124120876 50.9756812975815)",-0.36765901241208759,50.97568129758150235,South-2,
"POINT (-0.36908099064699557 50.9758380943947)",-0.36908099064699557,50.97583809439470315,South-2,
"POINT (-0.36858713917849056 50.974989598848204)",-0.36858713917849056,50.9749895988482038,South-2,
"POINT (-0.367659 50.9756813)",-0.367659,50.9756813,South-2,SY122
"POINT (-0.37049229231244857 50.9759961721409)",-0.37049229231244857,50.97599617214090273,South-2,
"POINT (-0.3714204 50.9753045)",-0.3714204,50.9753045,South-2,SY113
"POINT (-0.3704923 50.9759962)",-0.3704923,50.9759962,South-2,SY112
"POINT (-0.36196561210077466 50.975054390232806)",-0.36196561210077466,50.97505439023280616,South-2,
"POINT (-0.36338759033568263 50.97521118704591)",-0.36338759033568263,50.97521118704590748,South-2,
"POINT (-0.36289373886717763 50.97436269149951)",-0.36289373886717763,50.9743626914995076,South-2,
"POINT (-0.36196561210077466 50.975054390232806)",-0.36196561210077466,50.97505439023280616,South-2,
"POINT (-0.36949992847202356 50.9742946085206)",-0.36949992847202356,50.97429460852060146,South-2,
"POINT (-0.37092190670693165 50.9744514053338)",-0.37092190670693165,50.97445140533380226,South-2,
"POINT (-0.3704281 50.9736029)",-0.3704281,50.9736029,South-2,SY133
"POINT (-0.36949992847202356 50.9742946085206)",-0.36949992847202356,50.97429460852060146,South-2,
"POINT (-0.373067737962949 50.966745012325944)",-0.37306773796294901,50.96674501232594423,South-3,
"POINT (-0.375925254583953 50.96705917527915)",-0.37592525458395298,50.96705917527914664,South-3,
"POINT (-0.375431403115448 50.96621067973275)",-0.37543140311544798,50.96621067973274677,South-3,
